Category,Food Name,熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),飽和脂肪(g),灰分(g),總碳水化合物(g),膳食纖維(g),糖質總量(g),葡萄糖(g),果糖(g),半乳糖(g),麥芽糖(g),蔗糖(g),乳糖(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),磷(mg),銅(mg),視網醇當量(RE)(ug),β-胡蘿蔔素(ug),α-維生素E當量(α-TE)(mg),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素B12(ug),葉酸(ug),維生素C(mg),脂肪酸S總量(mg),脂肪酸M總量(mg),脂肪酸P總量(mg),亞麻油酸(18:2)(mg),次亞麻油酸(18:3)(mg),其他脂肪酸(mg),反式脂肪(mg),酥胺酸(Thr),胱胺酸(Cys),纈胺酸(Val),甲硫胺酸(Met),異白胺酸(Ile),白胺酸(Leu),酪胺酸(Tyr),苯丙胺酸(Phe),離胺酸(Lys),組胺酸(His),精胺酸(Arg),色胺酸(Trp),膽固醇(mg),酒精含量(g),醣類熱量%,脂肪熱量%,蛋白質熱量%,酒精熱量%
水果類,"桃接李(小)",35.8162,90.149,0.66,0.3158,0.1194,0.2765,8.5987,1.9241,5.315,2.343,2.64,0,0,0.332,0,0.0181,158.2443,6.702,6.9915,0.1238,0.3688,12.1468,,68.9585,413.668,0.483,0.017,0.034,0,0.05,,,3.006,119.4131382,105.6480478,52.7736538,52.7736538,0,37.9651602,0,,,,,,,,,,,,,,,86.42834635,7.380036155,6.191617495,
水果類,"蜜棗李(進口)",52.89,85.163,0.577,0.229,,0.4103,13.6207,1.3944,,,,,,,,0.2319,173.7068,6.3369,5.9314,0.2099,0.1031,12.5717,,0,0,0.244,0.02,0.001,0.221,0.074,,,3.072,,,,,,,,,,,,,,,,,,,,,,92.71043262,3.623995249,3.66557213,
水果類,"黃肉李",35.4499,90.138,0.436,0.222,0.0836,0.2799,8.9241,0.9328,5.8709,3.3515,2.3685,,0,0.1509,0,0.474,127.525,4.041,5.353,0.726,0.396,14.001,,11.1744,67.033,0.304,0.024,0.0099,0,0.006,,,2.375,83.59854,52.59846,84.57756,67.84764,16.72992,1.221,,,,,,,,,,,,,,,,90.62591502,5.24160039,4.132484585,
水果類,"黑李",56.8927,83.89,0.7435,0.1591,0.0666,0.4677,14.7397,1.4455,10.471,5.121,5.029,,0.321,0,0,0.1925,146.0998,4.5449,7.4482,0.1035,0.3126,15.1336,0.0541,18.4886,110.9096,0.6402,0.024,0.0216,0.5165,0.041,,2.404,3.2435,66.575395,67.724097,24.802099,17.349855,7.452244,0,,14.677,4.094,11.63,1.034,10.575,12.861,1.852,11.091,15.758,7.608,6.592,1.865,,,93.26833876,2.340662159,4.390999085,
水果類,"枇杷",37.9522,89.1275,0.327,0.1907,0.0358,0.5611,9.7937,0.9124,7.9976,3.1749,4.8227,,0,0,0,4.3127,172.7825,11.7799,9.9077,0.1948,0.2586,30.6546,0.0899,134.6938,798.0073,0.281,0.0298,0.0372,0.5885,0.0865,0,12.36,3.8668,35.752436,23.088049,36.509515,30.714142,5.795373,0,,,,,,,,,,,,,,,,92.89928101,4.205708871,2.895010115,
水果類,"筆柿",69.216,80.621,0.574,0.149,,0.3115,18.3445,4.0329,,,,,,,,1.9299,155.7938,7.0085,5.0006,0.3443,0.088,14.6125,,81.547,489.184,0.421,0.043,0.007,0.342,0.002,,,18.626,,,,,,,,,,,,,,,,,,,,,,95.41179586,1.801795164,2.786408975,
水果類,"甜柿平均值",57.1428,83.9565,0.4813,0.1004,,0.2715,15.1904,1.2303,13.0254,6.9915,6.0339,,0,0,0,2.9431,130.9251,7.679,5.3941,0.4404,0.1564,12.7695,,63.8642,359.5428,0.092,0.023,0.0209,0.369,0.048,,,44.7618,,,,,,,,,,,,,,,,,,,,,,95.69935444,1.470606456,2.830039104,
水果類,"富有甜柿(大雪山)",56.7934,84.167,0.391,0.1243,,0.1957,15.122,1.0934,13.0254,6.9915,6.0339,,0,0,0,0.48,123.583,7.893,4.877,0.202,0.25,10.753,,13.2628,79.561,0.114,0.022,0.0207,0.363,0.058,,,13.644,,,,,,,,,,,,,,,,,,,,,,95.85488273,1.831888736,2.313228533,
水果類,"甜柿(進口)",57.4922,83.746,0.5715,0.0765,,0.3472,15.2588,1.3671,,,,,,,,5.4062,138.2672,7.465,5.9111,0.6788,0.0628,14.786,,110.5372,639.5245,0.07,0.024,0.021,0.375,0.038,,,75.8795,,,,,,,,,,,,,,,,,,,,,,95.54627604,1.113724508,3.339999452,
水果類,"國產甜柿",47.4084,86.63,0.374,0.0558,0.0282,0.25,12.6902,1.0525,11.586,6.018,5.568,0,0,0,0,0,126.08,3.92,5.93,0,0,13.46,0.0083,20.0273,120.14,0.063,0.022,0,0,0,0,28.143,23.35,28.2002598,22.1095782,5.490162,2.599722,2.89044,0,0,16.4142,4.986,14.9784,2.5012,12.8691,20.8836,15.1068,13.8884,20.6561,5.2483,14.6024,0,0,,96.36417643,0.985154405,2.650669166,
水果類,"牛心柿",62.3047,82.5575,0.4805,0.1615,,0.3176,16.4829,4.0005,,,,,,,,3.3468,158.71,9.0367,7.733,0.1734,0.2043,13.7052,,51.0292,283.0615,0.15,0.0265,0.0015,0.2365,0.06,,,33.6575,,,,,,,,,,,,,,,,,,,,,,95.23914538,2.169588398,2.591266225,
水果類,"四周柿",65.6456,81.436,0.474,0.099,,0.4287,17.5623,4.3664,,,,,,,,0.4203,196.5501,10.0428,8.8064,0.3257,0.0087,14.5174,,116.7794,676.463,0.701,0.035,0.009,0.501,0.001,,,10.611,,,,,,,,,,,,,,,,,,,,,,96.31160071,1.262279012,2.426120278,
水果類,"柿餅",195.6143,44.547,1.7097,0.2172,0.0809,1.2895,52.2366,12.5877,25.985,13.217,12.768,,0,0,0,3.7444,610.9327,23.2891,24.2057,0.7711,0.1698,57.2396,0.0378,28.0286,153.9633,0.685,0.0387,0.0073,0.8644,0.1143,,18.809,2.8573,80.86899,71.163408,65.166516,38.071902,27.094614,0,,97.676,27.234,62.647,0.812,60.288,85.72,49.49,86.038,103.337,36.081,136.731,28.255,0,,96.13394553,0.929361428,2.936693038,
水果類,"水蜜桃平均值",39.4356,88.7517,0.9065,0.1633,0.0426,0.4499,9.7287,1.6599,6.3621,0.5719,0.6552,,0,5.1351,0,1.9139,205.2686,5.4443,8.3921,0.2253,0.3016,21.3411,0.0005,13.0914,78.5329,0.7283,0.0109,0.0332,0.4663,0.0307,,5.68,6.6069,42.5829245,8.7292015,30.337874,22.0283535,8.3095205,0,,,,,,,,,,,,,,,,88.81057124,3.46592367,7.72350509,
水果類,"水蜜桃",39.7262,88.5953,0.906,0.1389,0,0.4933,9.8665,1.3358,6.0491,0.2737,0.4193,,0,5.3561,0,3.4017,186.5992,5.4695,9.0232,0.1775,0.3701,22.4501,,24.4493,146.6667,0.7302,0.0107,0.0277,0.7707,0.0313,,,6.6067,0,0,0,0,0,0,,,,,,,,,,,,,,,,89.41062076,2.926517954,7.662861289,
水果類,"甜蜜桃",39.145,88.908,0.907,0.1876,0.0978,0.4065,9.5909,1.9839,6.675,0.87,0.891,,0,4.914,0,0.426,223.938,5.419,7.761,0.273,0.233,20.232,0.0005,1.7335,10.399,0.7265,0.011,0.0387,0.1618,0.03,,5.68,6.607,97.839028,20.056316,69.704656,50.612604,19.092052,0,,,,,,,,,,,,,,,,88.20351181,4.011273785,7.785214408,
水果類,"脆桃平均值",44.3199,87.3228,0.9194,0.1426,0.0499,0.4938,11.1215,2.5171,5.8215,1.1032,1.5185,,0,3.1998,0,2.1418,217.159,6.6649,8.8024,0.3606,0.3159,20.4264,,10.8355,65,0.8292,0.0133,0.0249,0.5391,0.0433,,,6.1456,49.858664,9.209108,77.985088,14.372654,63.612434,5.54714,,,,,,,,,,,,,,,,90.33679627,2.693046183,6.970157544,
水果類,"白油桃",36.7819,89.62,0.635,0.125,,0.2861,9.3339,2.6339,,,,,,,,0.684,181.884,4.8516,7.2838,0.3097,0.1672,19.7848,,0,0,0.284,0.027,0.015,0.384,0.086,,,2.677,,,,,,,,,,,,,,,,,,,,,,91.35484881,2.844470472,5.800680715,
